chunk_id,source,policy,effective_date,policy_source,chunk_index,total_chunks,text
policy_ltv_002,policy,LTV,2022-09-30,Monetary Authority of Singapore (MAS),2,5,"can be entirely from CPF OA — no mandatory cash component)
- Eligibility: Singapore Citizens only, income ceiling applies, no outstanding private property## Counting LoansA loan is ""outstanding"" if any borrower or co-borrower on the new application has an existing property loan, regardless of whether the property is in Singapore or overseas. The outstanding loan count includes:
- HDB flat loans
- Private property bank loans
- Mortgages on overseas properties## Cash vs CPF for Down Payment### First Property (LTV 75%)
- Mandatory cash: 5% of purchase price
- Optional CPF: up to 20% of purchase price
- Example (SGD 1,000,000 property): SGD 50,000 cash + SGD 200,000 CPF + SGD 750,000 loan"
policy_ltv_003,policy,LTV,2022-09-30,Monetary Authority of Singapore (MAS),3,5," Example (SGD 1,000,000 property): SGD 50,000 cash + SGD 200,000 CPF + SGD 750,000 loan### Second Property (LTV 45%)
- Mandatory cash: 25% of purchase price
- Optional CPF: up to 30% of purchase price
- ABSD (SC 2nd property: 20%) must also be paid in cash/CPF, not from loan
- Example (SGD 1,500,000 condo): SGD 375,000 cash + SGD 450,000 CPF + SGD 675,000 loan + SGD 300,000 ABSD## Valuation and LTVLTV is applied on the lower of:
- Purchase price agreed in OTP/S&P
- Bank's independent valuation of the propertyIf valuation is below purchase price (known as ""cash over valuation"" or COV):
- The difference must be paid fully in cash
- LTV loan is computed on the lower valuation, not the purchase price## LTV for ForeignersLTV limits apply equally to foreigners, PRs, and citizens. The same first/second/third loan tiers apply. However, foreigners face 60% ABSD on top of the down payment requirement."
policy_ltv_004,policy,LTV,2022-09-30,Monetary Authority of Singapore (MAS),4,5,", and citizens. The same first/second/third loan tiers apply. However, foreigners face 60% ABSD on top of the down payment requirement.## Historical Changes
- Sep 2022: second loan LTV tightened from 45% to 45% (no change to LTV, but ABSD raised)
- Dec 2021: LTV remained at current levels; ABSD rates increased
- Jul 2018: no change to LTV frameworkAlways verify current LTV rules with MAS or your bank before transacting."
policy_msr_000,policy,MSR,2013-08-27,Monetary Authority of Singapore (MAS) / HDB,0,4,"# Mortgage Servicing Ratio (MSR)MSR limits the portion of a borrower's gross monthly income that can be used for mortgage repayments on HDB flats and Executive Condominiums (ECs). It applies on top of TDSR.## Current MSR Threshold: 30%Monthly mortgage repayments for the HDB flat or EC being purchased must not exceed 30% of the borrower's gross monthly income.## Properties MSR Applies ToMSR applies when buying:
1. HDB flats (new BTO, resale, DBSS) — financed by HDB loan or bank loan
2. Executive Condominiums (ECs) — only for bank loans (not HDB loans, since ECs are private)MSR does NOT apply to private condominiums or landed properties.## MSR vs TDSRFor HDB and EC purchases, BOTH MSR and TDSR must be satisfied:
- MSR: monthly HDB/EC mortgage repayment ≤ 30% of gross monthly income
- TDSR: total monthly debt repayments ≤ 55% of gross monthly incomeMSR is typically the binding constraint because 30% < 55%.## MSR Calculation Example"
policy_msr_001,policy,MSR,2013-08-27,Monetary Authority of Singapore (MAS) / HDB,1,4," total monthly debt repayments ≤ 55% of gross monthly incomeMSR is typically the binding constraint because 30% < 55%.## MSR Calculation ExampleGross monthly income: SGD 8,000
MSR limit: 30% × 8,000 = SGD 2,400/month maximum mortgage repaymentAt a 3.5% interest rate over 25 years:
Maximum loan ≈ SGD 2,400 × 151 (annuity factor) ≈ SGD 430,000## Income Definition for MSRSame rules as TDSR:
- Fixed salary: 100% of gross monthly salary
- Variable/commission income: 70% of 12-month average
- Rental income: 70% of gross rental
- Self-employment: 70% of 2-year average NOA## MSR and Joint BorrowersFor joint applications, the combined gross monthly income of all borrowers is used, subject to lender assessment.## HDB Loan vs Bank Loan — MSR Interaction"
policy_msr_002,policy,MSR,2013-08-27,Monetary Authority of Singapore (MAS) / HDB,2,4," BorrowersFor joint applications, the combined gross monthly income of all borrowers is used, subject to lender assessment.## HDB Loan vs Bank Loan — MSR Interaction### HDB Concessionary Loan
- Interest rate: 0.1% above CPF OA rate (currently ~2.6%)
- MSR applies: monthly repayment must not exceed 30% of gross monthly income
- HDB uses the actual loan interest rate for MSR assessment (no stress-test rate)### Bank Loan for HDB Flat
- MSR applies at 30%
- Bank uses stress-test rate of 4.0% for MSR/TDSR assessment
- LTV limit is 75% (lower than HDB loan's 80%)## Practical Impact of MSRMSR significantly constrains the loan quantum for HDB flat buyers, particularly in high-price towns like Bishan, Queenstown, or Toa Payoh."
policy_msr_003,policy,MSR,2013-08-27,Monetary Authority of Singapore (MAS) / HDB,3,4,"R significantly constrains the loan quantum for HDB flat buyers, particularly in high-price towns like Bishan, Queenstown, or Toa Payoh.Example: 5-room resale flat in Queenstown priced at SGD 1,100,000
- 25% down payment: SGD 275,000
- Loan required: SGD 825,000
- Monthly repayment at 3.5% over 25 years: ~SGD 4,100
- Income needed to satisfy 30% MSR: SGD 4,100 / 0.30 = SGD 13,700/month minimum## Historical Context
MSR was introduced in August 2013 at 30% for HDB flat purchases, extended to ECs in December 2013. The 30% threshold has remained unchanged since introduction."
policy_tdsr_000,policy,TDSR,2023-07-01,Monetary Authority of Singapore (MAS),0,3,"# Total Debt Servicing Ratio (TDSR)TDSR limits the proportion of a borrower's gross monthly income that can go towards servicing all debt obligations. It applies to all property loans granted by financial institutions in Singapore.## Current TDSR Threshold: 55%A borrower's total monthly debt repayments — including the new property loan being applied for — must not exceed 55% of their gross monthly income.## What Counts as DebtAll outstanding loan obligations are included in the TDSR calculation:
- Property loans (existing and the new loan being applied for)
- Car loans
- Personal loans and credit lines
- Student loans
- Credit card outstanding balances (counted at 5% of the outstanding balance as a monthly obligation)
- Any other credit facilities## Income Definition for TDSR### Employment Income
- Fixed salary: 100% of gross monthly salary
- Variable income (bonuses, commission): 70% of the average over 12 months### Rental Income
- 70% of gross rental income (after deducting property tax and maintenance)### Self-Employment / Business Income
- 70% of average monthly income (assessed over 2 years of NOA)"
policy_tdsr_001,policy,TDSR,2023-07-01,Monetary Authority of Singapore (MAS),1,3," tax and maintenance)### Self-Employment / Business Income
- 70% of average monthly income (assessed over 2 years of NOA)### Investment Income
- Dividends, interest: assessed case by case by lender## TDSR Calculation ExampleGross monthly salary: SGD 10,000
Existing car loan repayment: SGD 1,000/month
Proposed property loan repayment: SGD 3,500/month
Total debt: SGD 4,500/month
TDSR: 4,500 / 10,000 = 45% → passes TDSR (below 55%)If property loan were SGD 5,000/month:
TDSR: 6,000 / 10,000 = 60% → fails TDSR (above 55%)## Stress-Test Rate for TDSRFinancial institutions must apply a minimum stress-test interest rate of 4.0% per annum when computing the monthly repayment for TDSR assessment, even if the actual loan rate is lower. This ensures borrowers can withstand rate increases.## TDSR and Investment PropertiesFor investment properties (properties not for owner-occupation), lenders may apply stricter income haircuts at their discretion."
policy_tdsr_002,policy,TDSR,2023-07-01,Monetary Authority of Singapore (MAS),2,3," rate increases.## TDSR and Investment PropertiesFor investment properties (properties not for owner-occupation), lenders may apply stricter income haircuts at their discretion.## TDSR ExemptionsOwner-occupiers refinancing existing property loans with no cash-out are exempt from TDSR assessment under certain conditions (MAS Notice 645/1121).## Relationship with MSRFor HDB flats, the Mortgage Servicing Ratio (MSR) of 30% applies in addition to TDSR. MSR is the binding constraint for HDB purchases since 30% < 55%.## Historical Context
- Jun 2013: TDSR first introduced at 60%
- Sep 2022: reduced to 55% (tightened to cool the market)
- Jul 2023: current framework confirmedAlways verify effective_date. MAS reviews TDSR periodically."
