chunk_id,source,planning_area,region,model_vintage,latest_psf,psf_cagr_pct,gross_yield_pct,mrt_dist_m,cbd_dist_km,text
roi_hougang,roi,Hougang,North East Region,2022,1641.0,6.18,2.79,960,8.6,"Area Investment Profile — Hougang | North East Region

Location & Accessibility:
  MRT access: 960m avg — Good (500-1000m)
  Distance to CBD: 8.6 km
  Nearest top primary school: 2552m
  Nearest shopping mall: 974m
  Nearest park: 298m

Private Property PSF (URA transaction data):
  2021: SGD 1,216  2022: SGD 1,302  2023: SGD 1,433  2024: SGD 1,515  2025: SGD 1,602
  PSF CAGR 2021-2026: +6.2%/yr
  Based on 13,028 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 3.82 (2026Q1)
  Gross rental yield: 2.79%/yr
  Net rental yield (est.): 1.79%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,576  2024: SGD 1,538  2025: SGD 1,420  2026: SGD 1,410  (CAGR -3.6%/yr)
  2-bed: 2023: SGD 1,330  2024: SGD 1,342  2025: SGD 1,155  2026: SGD 1,106  (CAGR -6.0%/yr)
  3-bed: 2023: SGD 1,169  2024: SGD 1,152  2025: SGD 1,006  2026: SGD 984  (CAGR -5.6%/yr)
  4-bed: 2023: SGD 1,177  2024: SGD 1,108  2025: SGD 975  2026: SGD 1,001  (CAGR -5.3%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_jurong_east,roi,Jurong East,West Region,2022,1683.0,8.64,4.47,326,9.6,"Area Investment Profile — Jurong East | West Region

Location & Accessibility:
  MRT access: 326m avg — Excellent (≤500m)
  Distance to CBD: 9.6 km
  Nearest top primary school: 2751m
  Nearest shopping mall: 204m
  Nearest park: 954m

Private Property PSF (URA transaction data):
  2021: SGD 1,112  2022: SGD 1,184  2023: SGD 2,060  2024: SGD 1,776  2025: SGD 1,642
  PSF CAGR 2021-2026: +8.6%/yr
  Based on 2,901 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 6.27 (2026Q1)
  Gross rental yield: 4.47%/yr
  Net rental yield (est.): 3.47%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,924  2024: SGD 1,873  2025: SGD 1,425  2026: SGD 1,383  (CAGR -10.4%/yr)
  2-bed: 2023: SGD 1,758  2024: SGD 1,720  2025: SGD 1,335  2026: SGD 1,296  (CAGR -9.7%/yr)
  3-bed: 2023: SGD 1,711  2024: SGD 1,672  2025: SGD 1,286  2026: SGD 1,247  (CAGR -10.0%/yr)
  4-bed: 2023: SGD 1,701  2024: SGD 1,662  2025: SGD 1,266  2026: SGD 1,226  (CAGR -10.3%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_jurong_west,roi,Jurong West,West Region,2022,1683.0,8.64,4.47,244,12.2,"Area Investment Profile — Jurong West | West Region

Location & Accessibility:
  MRT access: 244m avg — Excellent (≤500m)
  Distance to CBD: 12.2 km
  Nearest top primary school: 458m
  Nearest shopping mall: 845m
  Nearest park: 327m

Private Property PSF (URA transaction data):
  2021: SGD 1,112  2022: SGD 1,184  2023: SGD 2,060  2024: SGD 1,776  2025: SGD 1,642
  PSF CAGR 2021-2026: +8.6%/yr
  Based on 2,901 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 6.27 (2026Q1)
  Gross rental yield: 4.47%/yr
  Net rental yield (est.): 3.47%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,337  2024: SGD 1,335  2025: SGD 1,318  2026: SGD 1,316  (CAGR -0.5%/yr)
  2-bed: 2023: SGD 1,290  2024: SGD 1,278  2025: SGD 1,143  2026: SGD 1,122  (CAGR -4.5%/yr)
  3-bed: 2023: SGD 1,262  2024: SGD 1,194  2025: SGD 1,101  2026: SGD 1,143  (CAGR -3.2%/yr)
  4-bed: 2023: SGD 1,193  2024: SGD 1,125  2025: SGD 997  2026: SGD 1,035  (CAGR -4.6%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_kallang,roi,Kallang,Central Region,2022,1740.0,3.36,3.28,486,2.1,"Area Investment Profile — Kallang | Central Region

Location & Accessibility:
  MRT access: 486m avg — Excellent (≤500m)
  Distance to CBD: 2.1 km
  Nearest top primary school: 1968m
  Nearest shopping mall: 1356m
  Nearest park: 402m

Private Property PSF (URA transaction data):
  2021: SGD 1,475  2022: SGD 1,594  2023: SGD 1,630  2024: SGD 1,756  2025: SGD 2,100
  PSF CAGR 2021-2026: +3.4%/yr
  Based on 2,741 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 4.76 (2026Q1)
  Gross rental yield: 3.28%/yr
  Net rental yield (est.): 2.28%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 2,341  2024: SGD 2,197  2025: SGD 1,649  2026: SGD 1,653  (CAGR -11.0%/yr)
  2-bed: 2023: SGD 1,379  2024: SGD 1,408  2025: SGD 1,386  2026: SGD 1,360  (CAGR -0.5%/yr)
  3-bed: 2023: SGD 1,302  2024: SGD 1,307  2025: SGD 1,343  2026: SGD 1,366  (CAGR +1.6%/yr)
  4-bed: 2023: SGD 1,282  2024: SGD 1,330  2025: SGD 1,361  2026: SGD 1,347  (CAGR +1.7%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_marine_parade,roi,Marine Parade,Central Region,2022,2330.0,7.66,2.5,1520,2.4,"Area Investment Profile — Marine Parade | Central Region

Location & Accessibility:
  MRT access: 1520m avg — Low (>1.5km)
  Distance to CBD: 2.4 km
  Nearest top primary school: 1800m
  Nearest shopping mall: 809m
  Nearest park: 157m

Private Property PSF (URA transaction data):
  2021: SGD 1,611  2022: SGD 1,779  2023: SGD 2,431  2024: SGD 2,488  2025: SGD 2,122
  PSF CAGR 2021-2026: +7.7%/yr
  Based on 10,156 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 4.86 (2026Q1)
  Gross rental yield: 2.50%/yr
  Net rental yield (est.): 1.50%/yr

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_newton,roi,Newton,Central Region,2022,3125.0,5.43,1.76,384,0.3,"Area Investment Profile — Newton | Central Region

Location & Accessibility:
  MRT access: 384m avg — Excellent (≤500m)
  Distance to CBD: 0.3 km
  Nearest top primary school: 833m
  Nearest shopping mall: 514m
  Nearest park: 894m

Private Property PSF (URA transaction data):
  2021: SGD 2,399  2022: SGD 2,533  2023: SGD 2,586  2024: SGD 2,342  2025: SGD 2,869
  PSF CAGR 2021-2026: +5.4%/yr
  Based on 5,863 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 4.59 (2026Q1)
  Gross rental yield: 1.76%/yr
  Net rental yield (est.): 0.76%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 4,257  2024: SGD 4,213  2025: SGD 3,770  2026: SGD 3,726  (CAGR -4.3%/yr)
  2-bed: 2023: SGD 3,342  2024: SGD 3,322  2025: SGD 3,370  2026: SGD 3,428  (CAGR +0.9%/yr)
  3-bed: 2023: SGD 2,766  2024: SGD 2,698  2025: SGD 2,804  2026: SGD 2,920  (CAGR +1.8%/yr)
  4-bed: 2023: SGD 2,570  2024: SGD 2,663  2025: SGD 2,762  2026: SGD 2,737  (CAGR +2.1%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_novena,roi,Novena,Central Region,2022,2082.0,3.18,3.04,488,1.2,"Area Investment Profile — Novena | Central Region

Location & Accessibility:
  MRT access: 488m avg — Excellent (≤500m)
  Distance to CBD: 1.2 km
  Nearest top primary school: 944m
  Nearest shopping mall: 533m
  Nearest park: 455m

Private Property PSF (URA transaction data):
  2021: SGD 1,780  2022: SGD 2,040  2023: SGD 2,186  2024: SGD 2,030  2025: SGD 2,087
  PSF CAGR 2021-2026: +3.2%/yr
  Based on 2,322 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 5.27 (2026Q1)
  Gross rental yield: 3.04%/yr
  Net rental yield (est.): 2.04%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 2,387  2024: SGD 2,261  2025: SGD 2,412  2026: SGD 2,585  (CAGR +2.7%/yr)
  2-bed: 2023: SGD 1,934  2024: SGD 1,843  2025: SGD 1,778  2026: SGD 1,842  (CAGR -1.6%/yr)
  3-bed: 2023: SGD 2,547  2024: SGD 2,550  2025: SGD 2,173  2026: SGD 2,118  (CAGR -6.0%/yr)
  4-bed: 2023: SGD 1,803  2024: SGD 1,760  2025: SGD 1,682  2026: SGD 1,703  (CAGR -1.9%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_pasir_ris,roi,Pasir Ris,East Region,2022,1905.0,9.74,2.25,1044,12.0,"Area Investment Profile — Pasir Ris | East Region

Location & Accessibility:
  MRT access: 1044m avg — Moderate (1-1.5km)
  Distance to CBD: 12.0 km
  Nearest top primary school: 1540m
  Nearest shopping mall: 1155m
  Nearest park: 377m

Private Property PSF (URA transaction data):
  2021: SGD 1,197  2022: SGD 1,241  2023: SGD 1,364  2024: SGD 1,426  2025: SGD 1,718
  PSF CAGR 2021-2026: +9.7%/yr
  Based on 9,302 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 3.57 (2026Q1)
  Gross rental yield: 2.25%/yr
  Net rental yield (est.): 1.25%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,176  2024: SGD 1,171  2025: SGD 1,084  2026: SGD 1,064  (CAGR -3.3%/yr)
  2-bed: 2023: SGD 997  2024: SGD 986  2025: SGD 932  2026: SGD 926  (CAGR -2.4%/yr)
  3-bed: 2023: SGD 951  2024: SGD 970  2025: SGD 922  2026: SGD 900  (CAGR -1.8%/yr)
  4-bed: 2023: SGD 923  2024: SGD 900  2025: SGD 844  2026: SGD 855  (CAGR -2.5%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_punggol,roi,Punggol,North East Region,2022,1641.0,6.18,2.79,1373,11.9,"Area Investment Profile — Punggol | North East Region

Location & Accessibility:
  MRT access: 1373m avg — Moderate (1-1.5km)
  Distance to CBD: 11.9 km
  Nearest top primary school: 4836m
  Nearest shopping mall: 527m
  Nearest park: 1556m

Private Property PSF (URA transaction data):
  2021: SGD 1,216  2022: SGD 1,302  2023: SGD 1,433  2024: SGD 1,515  2025: SGD 1,602
  PSF CAGR 2021-2026: +6.2%/yr
  Based on 13,028 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 3.82 (2026Q1)
  Gross rental yield: 2.79%/yr
  Net rental yield (est.): 1.79%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,492  2024: SGD 1,471  2025: SGD 1,264  2026: SGD 1,244  (CAGR -5.9%/yr)
  2-bed: 2023: SGD 1,004  2024: SGD 1,001  2025: SGD 932  2026: SGD 914  (CAGR -3.1%/yr)
  3-bed: 2023: SGD 814  2024: SGD 815  2025: SGD 840  2026: SGD 842  (CAGR +1.2%/yr)
  4-bed: 2023: SGD 629  2024: SGD 630  2025: SGD 734  2026: SGD 756  (CAGR +6.3%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_queenstown,roi,Queenstown,Central Region,2022,2004.0,2.85,2.85,1563,6.0,"Area Investment Profile — Queenstown | Central Region

Location & Accessibility:
  MRT access: 1563m avg — Low (>1.5km)
  Distance to CBD: 6.0 km
  Nearest top primary school: 3285m
  Nearest shopping mall: 1503m
  Nearest park: 78m

Private Property PSF (URA transaction data):
  2021: SGD 1,741  2022: SGD 1,724  2023: SGD 1,858  2024: SGD 1,900  2025: SGD 2,176
  PSF CAGR 2021-2026: +2.9%/yr
  Based on 7,898 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 4.76 (2026Q1)
  Gross rental yield: 2.85%/yr
  Net rental yield (est.): 1.85%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,684  2024: SGD 1,695  2025: SGD 1,623  2026: SGD 1,593  (CAGR -1.8%/yr)
  2-bed: 2023: SGD 1,613  2024: SGD 1,578  2025: SGD 1,504  2026: SGD 1,548  (CAGR -1.4%/yr)
  3-bed: 2023: SGD 1,158  2024: SGD 1,106  2025: SGD 1,179  2026: SGD 1,252  (CAGR +2.6%/yr)
  4-bed: 2023: SGD 1,375  2024: SGD 1,400  2025: SGD 1,444  2026: SGD 1,462  (CAGR +2.1%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
